source,target
3340,204900
2459,348557
67890,348543
22399,348599
79,3334
2222,348543
2921,23451
73,197100
844,204900
1888,1315
826,853
3493,10724
2177,22213
73,348560
92,20740
2442,348543
93,348536
2442,14489
71,2480
71,196610
1315,23979
851,5486
25653,25693
3462,289045
5710,211118
71,20915
1888,2727
2725,2662
67890,2050
851,76
4125,348543
93,348543
19124,198029
25691,25649
2406,348543
2928,196595
3537,19749
2077,19749
2884,83
73,9878
2473,348543
1892,196741
15355,196595
25691,25652
31093,1157
25691,25664
3021,3757
826,196657
73,196712
9910,196599
36823,348537
92,197117
3636,19749
3260,196657
2991,348457
71,17903
92,197512
3469,25138
9798,20033
79,359
2902,2477
2108,21736
25691,25666
93,196658
3013,348543
844,199197
92,2869
3483,25150
1315,1316
36823,4085
2746,221006
93,196773
2925,25637
2861,14148
71,221006
25653,25677
11378,1671
851,196607
2743,4569
76,19843
73,851
1315,23982
71,348540
25691,25638
4125,19928
831,4185
93,86
5203,27708
3492,5831
93,196602
3013,223801
1315,2107
83,196595
2108,200076
10065,42608
2370,23599
4999,24472
2921,3607
76,348543
18082,221700
9508,348557
2725,348627
844,289045
42152,1317
92,30323
3021,348557
2411,23662
22402,19749
1315,348519
3472,348543
71,1399
821,196602
4551,26718
1315,23977
1892,25144
2884,199197
3537,173474
92,197676
3493,19749
2228,196657
2425,22600
92,8511
73,1262
18351,348557
3247,200626
844,16838
2177,196595
36823,2458
79,285
853,196595
3013,24390
13140,221006
92,40395
826,196602
1892,348946
1315,23184
71,197679
36823,5047
826,348566
23261,19749
2444,657
71,32840
71,348511
1315,23987
92,40397
4986,348595
10186,20750
36822,71
2889,348557
1302,204900
10631,196602
4999,229510
72,86
3728,4807
3260,347428
2442,23742
25653,25641
2884,1302
92,2328
2071,253029
86,1262
3014,196595
2921,173292
1315,348614
2991,24580
1888,201137
1888,10499
3462,844
71,23977
2921,348543
2910,173288
9508,32118
657,196585
25653,25639
2370,196657
3247,348557
72,94
3472,348557
36823,1706
3537,173470
92,32930
3483,25151
71,36826
36822,27245
3503,2071
826,359
1892,18692
2174,315032
1892,22199
2884,76
71,17493
4115,348599
2354,221006
15355,22295
2725,348595
2981,348596
25691,25677
25691,25643
1315,21300
3748,216080
92,4614
4967,221006
1892,2406
2906,24417
67890,196657
2889,24259
1315,20908
1315,348617
3462,196595
2925,348557
92,197701
3339,260905
1315,2453
19124,348585
2928,204568
3013,23742
71,197360
92,1622
2991,1239
1888,2751
86,826
2928,25078
92,346905
657,94
71,32839
2699,16452
72,73
67890,19616
3483,25148
2126,81861
1317,196658
2177,196631
851,196657
5747,197038
2425,348485
19124,199197
20719,252677
10631,196595
92,71
25691,25644
1315,20910
1315,826
23261,348579
2126,173056
71,23982
3483,25149
3339,24996
1315,197255
92,826
5747,19749
1888,21475
2746,348557
36823,826
2928,17518
92,348958
29250,2444
9798,348464
3466,348543
2910,3356
2972,24535
92,50915
2442,43643
3472,19749
23261,196741
92,197546
92,3425
86,3580
36822,20910
2126,196657
3260,28506
3469,348543
17493,1977
2861,37085
4999,196595
2884,196595
1892,26516
2902,1315
3492,2177
15355,55634
92,202316
36822,2888
25653,25644
844,196595
17493,4811
71,23995
93,3580
3466,173416
73,2475
71,30696
2354,19749
3207,196595
76,196615
36822,23978
9508,32115
3728,348543
1892,5006
1315,5665
3207,196657
1892,7014
1317,2902
93,1166
92,201210
9442,348557
92,197510
67890,197574
71,9821
2699,24068
25691,25655
86,348563
79,196633
3748,348543
71,348543
2222,19749
71,30694
4999,51175
79,3462
844,221006
10065,199197
3469,24472
9798,32307
2425,200584
2902,1317
36822,7568
2459,196595
92,197533
92,1892
2425,23694
3013,24601
3340,19749
25691,25689
9798,29242
